
Date,Resource_ID,Service,Region,Business_Unit,Environment,CPU_Utilization,Storage_GB,Monthly_Cost,Owner,Resource_Status
2026-07-01,res-097,S3,us-east-1,Product,Production,93,297,21257,Owner_2,Running
2026-07-01,res-098,S3,eu-west-1,Data,Testing,14,523,24747,Owner_6,Stopped
2026-07-01,res-099,CloudFront,us-east-1,Marketing,Testing,10,120,25591,Owner_2,Stopped
2026-07-01,res-100,EBS,eu-west-1,Data,Development,87,116,5272,Owner_2,Stopped
2026-07-01,res-101,CloudFront,us-east-1,Data,Development,21,242,19988,Owner_3,Running
2026-07-01,res-102,Lambda,eu-west-1,Data,Production,58,643,7259,Owner_9,Stopped
2026-07-01,res-103,RDS,eu-west-1,HR,Production,12,518,24229,Owner_10,Running
2026-07-01,res-104,Lambda,us-east-1,Marketing,Development,97,161,6826,Owner_1,Stopped
2026-07-01,res-105,CloudFront,eu-west-1,Product,Testing,57,104,6230,Owner_3,Stopped
2026-07-01,res-106,Lambda,eu-west-1,Finance,Production,32,172,24244,Owner_9,Stopped
2026-07-01,res-107,EBS,ap-south-1,Finance,Testing,36,566,24188,Owner_1,Stopped
2026-07-01,res-108,RDS,eu-west-1,Finance,Development,89,384,15013,Owner_7,Stopped
2026-07-01,res-109,RDS,us-east-1,Data,Development,55,366,25795,Owner_9,Running
2026-07-01,res-110,EC2,us-east-1,Data,Development,26,563,28503,Owner_1,Stopped
2026-07-01,res-111,EBS,us-east-1,Marketing,Development,50,716,19068,Owner_9,Running
2026-07-01,res-112,EBS,eu-west-1,Finance,Testing,5,696,9654,Owner_7,Running
2026-07-01,res-113,EBS,ap-south-1,Engineering,Production,75,773,5402,Owner_3,Running
2026-07-01,res-114,EC2,eu-west-1,Data,Development,33,220,19202,Owner_9,Stopped
2026-07-01,res-115,EC2,eu-west-1,HR,Testing,98,717,4732,Owner_10,Running
2026-07-01,res-116,CloudFront,us-east-1,Data,Production,75,521,7823,Owner_4,Running
2026-07-01,res-117,Lambda,ap-south-1,Marketing,Development,94,488,9678,Owner_5,Running
2026-07-01,res-118,S3,ap-south-1,HR,Production,11,98,13547,Owner_6,Stopped
2026-07-01,res-119,S3,eu-west-1,Product,Testing,42,227,4661,Owner_10,Running
2026-07-01,res-120,CloudFront,ap-south-1,Marketing,Development,100,866,13263,Owner_1,Running
2026-07-01,res-121,Lambda,eu-west-1,Engineering,Testing,28,651,20172,Owner_6,Running
2026-07-01,res-122,EC2,eu-west-1,Product,Production,10,565,7253,Owner_9,Running
2026-07-01,res-123,EBS,ap-south-1,Data,Testing,81,114,25166,Owner_2,Stopped
2026-07-01,res-124,EC2,ap-south-1,HR,Development,20,605,8997,Owner_9,Stopped
2026-07-01,res-125,EC2,us-east-1,Marketing,Development,12,768,22510,Owner_7,Stopped
2026-07-01,res-126,EBS,ap-south-1,Product,Development,92,35,29897,Owner_9,Running
2026-07-01,res-127,Lambda,ap-south-1,Finance,Testing,96,628,1079,Owner_10,Running
2026-07-01,res-128,EC2,us-east-1,Finance,Production,93,207,15849,Owner_7,Stopped
2026-07-01,res-129,Lambda,eu-west-1,Engineering,Development,88,222,28489,Owner_8,Running
2026-07-01,res-130,EBS,ap-south-1,Finance,Development,10,734,9846,Owner_6,Running
2026-07-01,res-131,S3,ap-south-1,Engineering,Production,26,733,21236,Owner_5,Running
2026-07-01,res-132,RDS,us-east-1,HR,Production,90,53,15941,Owner_8,Stopped
2026-07-01,res-133,EC2,us-east-1,Marketing,Production,28,334,27279,Owner_8,Running
2026-07-01,res-134,EC2,eu-west-1,Engineering,Development,20,381,1292,Owner_9,Running
2026-07-01,res-135,CloudFront,us-east-1,Marketing,Development,87,586,15274,Owner_5,Running
2026-07-01,res-136,RDS,ap-south-1,Engineering,Testing,64,391,6961,Owner_3,Running
2026-07-01,res-137,S3,ap-south-1,Product,Production,22,466,17108,Owner_7,Running
2026-07-01,res-138,S3,eu-west-1,Finance,Production,38,899,19193,Owner_1,Running
2026-07-01,res-139,RDS,eu-west-1,Engineering,Production,92,397,25031,Owner_1,Running
2026-07-01,res-140,RDS,eu-west-1,Data,Testing,92,308,5701,Owner_2,Running
2026-07-01,res-141,Lambda,ap-south-1,Finance,Development,32,142,18366,Owner_4,Stopped
2026-07-01,res-142,S3,ap-south-1,HR,Production,38,640,4961,Owner_5,Running
2026-07-01,res-143,RDS,us-east-1,Product,Development,9,128,20722,Owner_3,Stopped
2026-07-01,res-144,Lambda,ap-south-1,Finance,Production,9,987,15128,Owner_2,Running
2026-07-01,res-145,Lambda,ap-south-1,HR,Production,93,153,8228,Owner_1,Stopped
2026-07-01,res-146,Lambda,eu-west-1,Data,Development,69,130,17621,Owner_8,Running
2026-07-01,res-147,S3,eu-west-1,Product,Production,33,225,2398,Owner_3,Stopped
2026-07-01,res-148,CloudFront,eu-west-1,Data,Development,26,993,23946,Owner_2,Running
2026-07-01,res-149,RDS,us-east-1,Marketing,Testing,82,325,8158,Owner_1,Stopped
2026-07-01,res-150,S3,us-east-1,HR,Production,71,707,7631,Owner_1,Running
2026-07-01,res-151,EC2,eu-west-1,Marketing,Production,10,508,18246,Owner_7,Stopped
2026-07-01,res-152,EC2,ap-south-1,HR,Testing,85,244,9254,Owner_7,Running
2026-07-01,res-153,RDS,us-east-1,Engineering,Development,16,557,29050,Owner_8,Running
2026-07-01,res-154,EBS,ap-south-1,Marketing,Development,32,815,22516,Owner_3,Running
2026-07-01,res-155,CloudFront,us-east-1,Data,Testing,63,246,28389,Owner_10,Running
2026-07-01,res-156,RDS,eu-west-1,Engineering,Production,71,405,22327,Owner_4,Running
2026-07-01,res-157,EBS,ap-south-1,Finance,Development,6,637,11745,Owner_5,Running
2026-07-01,res-158,S3,ap-south-1,HR,Testing,6,911,13347,Owner_9,Stopped
2026-07-01,res-159,EBS,eu-west-1,Product,Production,61,511,15773,Owner_8,Running
2026-07-01,res-160,EBS,eu-west-1,Data,Testing,62,556,27768,Owner_3,Stopped
2026-07-01,res-161,EC2,us-east-1,Finance,Testing,53,278,16638,Owner_3,Running
2026-07-01,res-162,RDS,ap-south-1,Engineering,Testing,39,262,3523,Owner_6,Running
2026-07-01,res-163,CloudFront,us-east-1,Engineering,Production,51,246,15430,Owner_8,Stopped
2026-07-01,res-164,RDS,eu-west-1,Data,Testing,10,112,1850,Owner_7,Stopped
2026-07-01,res-165,EC2,eu-west-1,Engineering,Production,89,976,22974,Owner_8,Stopped
2026-07-01,res-166,S3,ap-south-1,Data,Development,93,732,5460,Owner_1,Stopped
2026-07-01,res-167,Lambda,eu-west-1,Marketing,Testing,64,880,13843,Owner_1,Running
2026-07-01,res-168,CloudFront,eu-west-1,Data,Production,87,250,14228,Owner_10,Stopped
2026-07-01,res-169,RDS,ap-south-1,Data,Development,21,817,12454,Owner_1,Stopped
2026-07-01,res-170,EC2,ap-south-1,Finance,Production,51,107,27660,Owner_10,Stopped
2026-07-01,res-171,EBS,eu-west-1,Marketing,Development,99,447,26733,Owner_1,Stopped
2026-07-01,res-172,EBS,ap-south-1,HR,Development,82,167,20901,Owner_9,Running
2026-07-01,res-173,RDS,ap-south-1,Product,Production,60,67,28610,Owner_7,Running
2026-07-01,res-174,Lambda,us-east-1,Finance,Testing,39,295,25194,Owner_2,Running
2026-07-01,res-175,EC2,eu-west-1,Engineering,Development,42,855,12184,Owner_4,Running
2026-07-01,res-176,EC2,eu-west-1,Data,Production,96,774,27692,Owner_1,Stopped
2026-07-01,res-177,Lambda,us-east-1,Engineering,Production,47,375,6411,Owner_7,Stopped
2026-07-01,res-178,Lambda,eu-west-1,Data,Testing,1,862,8686,Owner_10,Stopped
2026-07-01,res-179,CloudFront,eu-west-1,Finance,Development,39,448,9610,Owner_5,Stopped
2026-07-01,res-180,S3,us-east-1,HR,Production,71,546,24223,Owner_3,Running
2026-07-01,res-181,EC2,eu-west-1,Marketing,Development,38,321,8718,Owner_6,Stopped
2026-07-01,res-182,EBS,eu-west-1,Product,Testing,23,940,1322,Owner_7,Stopped
2026-07-01,res-183,EBS,ap-south-1,Product,Testing,96,703,6770,Owner_5,Running
2026-07-01,res-184,RDS,ap-south-1,Finance,Development,33,726,7494,Owner_2,Running
2026-07-01,res-185,CloudFront,us-east-1,Marketing,Production,54,891,20036,Owner_5,Stopped
2026-07-01,res-186,EBS,ap-south-1,HR,Testing,46,740,3086,Owner_3,Running
2026-07-01,res-187,Lambda,us-east-1,Engineering,Production,96,846,22185,Owner_7,Stopped
2026-07-01,res-188,EBS,ap-south-1,Data,Development,88,399,9131,Owner_2,Running
2026-07-01,res-189,EC2,us-east-1,HR,Testing,57,625,11492,Owner_6,Stopped
2026-07-01,res-190,RDS,us-east-1,Product,Production,77,702,14395,Owner_6,Stopped
2026-07-01,res-191,CloudFront,eu-west-1,Data,Development,48,384,1718,Owner_7,Stopped
2026-07-01,res-192,Lambda,us-east-1,HR,Testing,44,82,14645,Owner_4,Running
2026-07-01,res-193,S3,ap-south-1,Marketing,Development,60,875,24325,Owner_8,Running
2026-07-01,res-194,S3,eu-west-1,Data,Production,57,847,14972,Owner_8,Running
2026-07-01,res-195,CloudFront,eu-west-1,Marketing,Development,71,167,9288,Owner_5,Stopped
2026-07-01,res-196,Lambda,ap-south-1,Finance,Testing,26,856,1486,Owner_2,Stopped
2026-07-01,res-197,Lambda,eu-west-1,Engineering,Development,62,689,5678,Owner_9,Running
2026-07-01,res-198,S3,eu-west-1,Engineering,Development,24,215,19122,Owner_9,Running
2026-07-01,res-199,RDS,us-east-1,Product,Production,3,865,27818,Owner_2,Running
2026-07-01,res-200,EC2,eu-west-1,HR,Development,98,634,25358,Owner_6,Running
2026-07-01,res-201,EC2,eu-west-1,Data,Production,56,805,28815,Owner_7,Running
2026-07-01,res-202,S3,ap-south-1,Data,Development,97,27,28495,Owner_10,Stopped
2026-07-01,res-203,S3,us-east-1,HR,Production,77,937,27306,Owner_6,Stopped
2026-07-01,res-204,RDS,eu-west-1,Data,Testing,6,426,29314,Owner_7,Running
2026-07-01,res-205,Lambda,us-east-1,Product,Development,86,208,21666,Owner_10,Running
2026-07-01,res-206,RDS,eu-west-1,HR,Testing,30,328,20780,Owner_7,Stopped
2026-07-01,res-207,Lambda,us-east-1,Data,Testing,33,426,12912,Owner_9,Running
2026-07-01,res-208,EBS,eu-west-1,HR,Development,36,233,3780,Owner_7,Stopped
2026-07-01,res-209,RDS,eu-west-1,Data,Production,31,573,6493,Owner_6,Running
2026-07-01,res-210,EC2,eu-west-1,Engineering,Testing,8,226,21838,Owner_3,Running
2026-07-01,res-211,CloudFront,us-east-1,HR,Testing,98,805,21688,Owner_10,Running
2026-07-01,res-212,RDS,us-east-1,Marketing,Testing,4,921,4940,Owner_3,Running
2026-07-01,res-213,CloudFront,ap-south-1,Engineering,Development,10,846,17897,Owner_9,Running
2026-07-01,res-214,CloudFront,eu-west-1,Engineering,Production,77,422,2771,Owner_1,Stopped
2026-07-01,res-215,Lambda,eu-west-1,Data,Testing,6,631,11866,Owner_1,Stopped
2026-07-01,res-216,Lambda,eu-west-1,Finance,Development,63,711,19435,Owner_10,Running
2026-07-01,res-217,RDS,eu-west-1,Finance,Testing,70,398,2889,Owner_10,Running
2026-07-01,res-218,EC2,ap-south-1,Engineering,Production,73,557,13541,Owner_7,Stopped
2026-07-01,res-219,Lambda,eu-west-1,Marketing,Production,66,721,28380,Owner_10,Running
2026-07-01,res-220,S3,ap-south-1,Data,Testing,70,121,20698,Owner_1,Running
2026-07-01,res-221,EC2,ap-south-1,Marketing,Production,61,340,4403,Owner_4,Stopped
2026-07-01,res-222,EBS,us-east-1,Product,Production,91,593,24265,Owner_4,Running
2026-07-01,res-223,EC2,us-east-1,HR,Production,2,417,11281,Owner_9,Stopped
2026-07-01,res-224,EBS,eu-west-1,Data,Testing,92,20,18004,Owner_3,Stopped
2026-07-01,res-225,EC2,eu-west-1,Marketing,Development,95,468,23482,Owner_6,Stopped
2026-07-01,res-226,EBS,us-east-1,Marketing,Development,88,764,25115,Owner_2,Running
2026-07-01,res-227,EBS,ap-south-1,HR,Testing,83,432,24010,Owner_9,Running
2026-07-01,res-228,CloudFront,ap-south-1,Product,Production,64,366,15117,Owner_8,Running
2026-07-01,res-229,RDS,us-east-1,Product,Development,84,827,19706,Owner_7,Running
2026-07-01,res-230,EBS,ap-south-1,Data,Production,65,921,8795,Owner_2,Running
2026-07-01,res-231,CloudFront,us-east-1,Finance,Development,15,182,13820,Owner_9,Stopped
2026-07-01,res-232,S3,ap-south-1,HR,Development,72,375,16351,Owner_7,Stopped
2026-07-01,res-233,EC2,ap-south-1,Marketing,Development,42,875,18789,Owner_10,Running
2026-07-01,res-234,S3,eu-west-1,Product,Testing,25,532,9134,Owner_9,Stopped
2026-07-01,res-235,RDS,us-east-1,Finance,Testing,60,111,16789,Owner_2,Running
2026-07-01,res-236,RDS,eu-west-1,HR,Testing,62,991,11543,Owner_6,Running
2026-07-01,res-237,S3,eu-west-1,Data,Development,53,152,12395,Owner_8,Running
2026-07-01,res-238,S3,us-east-1,Product,Testing,67,655,22915,Owner_2,Running
2026-07-01,res-239,EC2,us-east-1,Product,Development,93,20,1269,Owner_4,Stopped
2026-07-01,res-240,S3,ap-south-1,Product,Development,82,560,3218,Owner_2,Running
2026-07-01,res-241,RDS,ap-south-1,Marketing,Production,1,914,29512,Owner_3,Stopped
2026-07-01,res-242,S3,us-east-1,Data,Production,80,45,3754,Owner_1,Running
2026-07-01,res-243,S3,us-east-1,Finance,Development,100,686,10349,Owner_10,Stopped
2026-07-01,res-244,Lambda,eu-west-1,Product,Testing,64,198,3889,Owner_2,Running
2026-07-01,res-245,EC2,ap-south-1,HR,Development,27,799,16469,Owner_3,Stopped
2026-07-01,res-246,S3,eu-west-1,Engineering,Development,32,774,16183,Owner_6,Stopped
2026-07-01,res-247,EBS,ap-south-1,Marketing,Testing,77,885,13833,Owner_5,Running
2026-07-01,res-248,Lambda,eu-west-1,Finance,Testing,34,453,15180,Owner_5,Stopped
2026-07-01,res-249,Lambda,ap-south-1,HR,Production,14,609,15831,Owner_5,Running
2026-07-01,res-250,CloudFront,eu-west-1,Finance,Production,71,738,21872,Owner_7,Running
2026-07-01,res-251,RDS,ap-south-1,Marketing,Production,69,74,16252,Owner_6,Stopped
2026-07-01,res-252,RDS,ap-south-1,Product,Testing,38,342,5481,Owner_9,Running
2026-07-01,res-253,EC2,us-east-1,Engineering,Development,7,330,13273,Owner_2,Running
2026-07-01,res-254,S3,ap-south-1,HR,Production,78,58,28972,Owner_4,Running
2026-07-01,res-255,RDS,eu-west-1,Finance,Testing,86,448,1077,Owner_8,Running
2026-07-01,res-256,CloudFront,eu-west-1,Product,Development,80,79,3511,Owner_1,Running
2026-07-01,res-257,CloudFront,ap-south-1,Marketing,Testing,31,640,17475,Owner_2,Running
2026-07-01,res-258,S3,us-east-1,HR,Production,90,135,20166,Owner_6,Stopped
2026-07-01,res-259,RDS,ap-south-1,HR,Production,69,610,21049,Owner_10,Running
2026-07-01,res-260,EC2,us-east-1,Marketing,Production,52,880,7927,Owner_5,Stopped
2026-07-01,res-261,Lambda,us-east-1,Finance,Development,48,404,25948,Owner_5,Stopped
2026-07-01,res-262,CloudFront,ap-south-1,Product,Testing,85,568,29003,Owner_5,Stopped
2026-07-01,res-263,EBS,ap-south-1,Product,Development,76,371,26306,Owner_3,Stopped
2026-07-01,res-264,RDS,us-east-1,Engineering,Production,7,475,23637,Owner_8,Stopped
2026-07-01,res-265,RDS,eu-west-1,Finance,Production,43,216,3219,Owner_8,Stopped
2026-07-01,res-266,CloudFront,ap-south-1,HR,Production,13,494,10420,Owner_2,Stopped
2026-07-01,res-267,EBS,eu-west-1,Data,Testing,83,98,28731,Owner_2,Stopped
2026-07-01,res-268,EC2,us-east-1,Data,Development,75,903,19621,Owner_4,Running
2026-07-01,res-269,EBS,us-east-1,Engineering,Development,61,985,1819,Owner_5,Stopped
2026-07-01,res-270,EBS,ap-south-1,Product,Testing,33,637,18231,Owner_3,Running
2026-07-01,res-271,RDS,us-east-1,Finance,Development,52,227,11427,Owner_9,Stopped
2026-07-01,res-272,CloudFront,ap-south-1,Data,Development,53,345,793,Owner_1,Stopped
2026-07-01,res-273,RDS,us-east-1,Marketing,Production,10,153,16790,Owner_4,Running
2026-07-01,res-274,CloudFront,us-east-1,Data,Development,96,350,4228,Owner_10,Running
2026-07-01,res-275,EBS,us-east-1,Product,Development,81,37,7251,Owner_5,Stopped
2026-07-01,res-276,Lambda,us-east-1,Engineering,Development,78,811,5730,Owner_10,Running
2026-07-01,res-277,EBS,ap-south-1,Data,Production,85,647,15618,Owner_2,Running
2026-07-01,res-278,CloudFront,ap-south-1,Finance,Testing,22,956,16914,Owner_3,Running
2026-07-01,res-279,EC2,eu-west-1,Finance,Testing,62,856,24460,Owner_6,Stopped
2026-07-01,res-280,Lambda,us-east-1,Marketing,Development,23,817,5751,Owner_10,Stopped
2026-07-01,res-281,EBS,ap-south-1,Product,Testing,60,564,27965,Owner_3,Running
2026-07-01,res-282,EBS,ap-south-1,Finance,Development,33,776,21188,Owner_7,Stopped
2026-07-01,res-283,S3,eu-west-1,Marketing,Testing,5,735,25196,Owner_4,Stopped
2026-07-01,res-284,CloudFront,ap-south-1,Product,Production,58,832,29203,Owner_9,Stopped
2026-07-01,res-285,S3,ap-south-1,Finance,Development,62,526,12661,Owner_10,Stopped
2026-07-01,res-286,RDS,eu-west-1,Product,Production,32,783,14399,Owner_9,Running
2026-07-01,res-287,S3,eu-west-1,HR,Production,90,835,16903,Owner_9,Running
2026-07-01,res-288,RDS,us-east-1,Data,Development,27,903,16939,Owner_1,Stopped
2026-07-01,res-289,Lambda,eu-west-1,HR,Development,43,811,27762,Owner_10,Stopped
2026-07-01,res-290,EBS,eu-west-1,HR,Testing,77,939,13063,Owner_2,Running
2026-07-01,res-291,EBS,eu-west-1,Product,Development,25,636,26123,Owner_8,Stopped
2026-07-01,res-292,RDS,eu-west-1,Data,Production,59,541,25719,Owner_8,Running
2026-07-01,res-293,Lambda,ap-south-1,Finance,Testing,39,703,17514,Owner_5,Running
2026-07-01,res-294,RDS,us-east-1,Marketing,Production,91,820,6931,Owner_1,Stopped
2026-07-01,res-295,CloudFront,eu-west-1,Data,Production,40,445,28502,Owner_5,Stopped
2026-07-01,res-296,EBS,eu-west-1,HR,Development,80,994,27976,Owner_6,Stopped
2026-07-01,res-297,EBS,ap-south-1,Finance,Testing,69,888,28856,Owner_6,Stopped
2026-07-01,res-298,EBS,eu-west-1,Engineering,Development,14,311,23360,Owner_3,Running
2026-07-01,res-299,S3,eu-west-1,Product,Testing,36,104,14686,Owner_3,Running
2026-07-01,res-300,S3,eu-west-1,Product,Production,54,934,27360,Owner_8,Stopped
